Year,Player,Pos,Age,Tm,all_star,championship,PER,FG,3P,2P,FT,AST,STL,BLK,TOV,PTS
2014,Austin Daye,SF,25,SAS,0,1,13.5,21,12,9,4,6,4,4,5,58
2014,Nando De,SF,26,TOT,0,0,13.1,64,18,46,31,65,22,6,35,177
2014,Nando De,SF,26,SAS,0,1,13.2,42,10,32,18,32,15,3,21,112
2014,Nando De,SF,26,TOR,0,0,12.9,22,8,14,13,33,7,3,14,65
2014,Dewayne Dedmon,C,24,TOT,0,0,10.7,38,0,38,21,5,7,22,18,97
2014,Dewayne Dedmon,C,24,GSW,0,0,-5.1,0,0,0,1,0,0,0,0,1
2014,Dewayne Dedmon,C,24,PHI,0,0,8.7,15,0,15,7,3,0,9,9,37
2014,Dewayne Dedmon,C,24,ORL,0,0,12.5,23,0,23,13,2,7,13,9,59
2014,Matthew Dellavedova,SG,23,CLE,0,0,10.7,122,57,65,38,187,33,5,60,339
2014,Luol Deng,SF,28,TOT,0,0,15.2,371,57,314,212,183,62,9,114,1011
2014,Luol Deng,SF,28,CHI,0,0,17,160,17,143,101,85,24,4,59,438
2014,Luol Deng,SF,28,CLE,0,0,14,211,40,171,111,98,38,5,55,573
2014,DeMar DeRozan,SG,24,TOR,1,0,18.4,604,64,540,519,313,86,28,176,1791
2014,Boris Diaw,PF,31,SAS,0,1,14.1,302,45,257,68,222,44,32,121,717
2014,Gorgui Dieng,C,24,MIN,0,0,16.5,113,1,112,59,39,30,50,54,286
2014,Toney Douglas,PG,27,TOT,0,0,9.2,73,31,42,25,68,19,5,34,202
2014,Toney Douglas,PG,27,GSW,0,0,6.5,32,19,13,5,19,6,2,16,88
2014,Toney Douglas,PG,27,MIA,0,0,10.9,41,12,29,20,49,13,3,18,114
2014,Chris Douglas-Roberts,SF,27,CHA,0,0,12.2,111,51,60,66,51,29,16,36,339
2014,Goran Dragic,SG,27,PHO,0,0,21.4,552,122,430,316,447,104,22,213,1542
2014,Andre Drummond,C,20,DET,0,0,22.6,479,0,479,137,35,101,131,110,1095
2014,Jared Dudley,SF,28,LAC,0,0,8.9,196,81,115,38,104,41,10,56,511
2014,Tim Duncan,C,37,SAS,0,1,21.3,444,0,444,231,220,43,139,159,1119
2014,Mike Dunleavy,SF,33,CHI,0,0,12.6,333,123,210,140,186,64,46,108,929
2014,Kevin Durant,SF,25,OKC,1,0,29.8,849,192,657,703,445,103,59,285,2593
2014,Shane Edwards,SF,26,CLE,0,0,-1,1,0,1,0,0,0,0,1,2
2014,Wayne Ellington,SG,26,DAL,0,0,12.2,55,25,30,10,19,16,2,11,145
2014,Monta Ellis,SG,28,DAL,0,0,16.8,576,69,507,339,471,141,23,264,1560
2014,Melvin Ely,C,35,NOP,0,0,3.9,3,0,3,0,0,0,1,0,6
2014,Jeremy Evans,SF,26,UTA,0,0,16.2,175,0,175,51,44,42,46,40,401
2014,Reggie Evans,PF,33,TOT,0,0,11.7,71,0,71,72,21,37,3,58,214
2014,Reggie Evans,PF,33,BRK,0,0,9,23,0,23,35,5,13,2,28,81
2014,Reggie Evans,PF,33,SAC,0,0,13.8,48,0,48,37,16,24,1,30,133
2014,Tyreke Evans,SF,24,NOP,0,0,18.4,391,21,370,239,363,84,21,175,1042
2014,Kenneth Faried,PF,24,DEN,0,0,19.8,447,0,447,202,96,70,69,135,1096
2014,Jordan Farmar,PG,27,LAL,0,0,15,151,70,81,44,199,38,8,95,416
2014,Vitor Faverani,C,25,BOS,0,0,11,64,12,52,24,16,14,27,41,164
2014,Derrick Favors,PF,22,UTA,0,0,19,390,0,390,190,91,75,108,129,970
2014,Carrick Felix,SG,23,CLE,0,0,13.3,7,2,5,3,4,0,0,4,19
2014,Raymond Felton,PG,29,NYK,0,0,12.9,240,62,178,88,365,78,27,129,630
2014,Landry Fields,SF,25,TOR,0,0,8.6,27,0,27,14,20,10,3,11,68
2014,Derek Fisher,SG,39,OKC,0,0,10.1,141,88,53,55,117,70,3,49,425
2014,Evan Fournier,SG,21,DEN,0,0,10.3,228,89,139,93,112,34,7,100,638
2014,Randy Foye,SG,30,DEN,0,0,13.3,361,189,172,157,287,67,39,145,1068
2014,Jamaal Franklin,SG,22,MEM,0,0,4.7,16,5,11,2,6,4,2,11,39
2014,Jimmer Fredette,SG,24,TOT,0,0,15.8,107,40,67,19,64,14,3,48,273
2014,Jimmer Fredette,SG,24,SAC,0,0,16.3,94,36,58,17,61,14,3,44,241
2014,Jimmer Fredette,SG,24,CHI,0,0,11.6,13,4,9,2,3,0,0,4,32
2014,Joel Freeland,C,26,POR,0,0,11.3,77,0,77,20,36,10,22,32,174
2014,Channing Frye,PF,30,PHO,0,0,13.2,336,160,176,78,98,60,63,89,910
2014,Francisco Garcia,SF,32,HOU,0,0,9.3,118,69,49,10,63,27,33,30,315
2014,Kevin Garnett,C,37,BRK,0,0,13.3,157,0,157,38,82,43,40,69,352
2014,Diante Garrett,PG,25,UTA,0,0,7.1,101,36,65,10,120,41,5,75,248
2014,Marc Gasol,C,29,MEM,0,0,18.2,336,2,334,185,215,59,76,111,859
2014,Pau Gasol,C,33,LAL,0,0,19.3,425,4,421,187,201,27,92,141,1041
2014,Rudy Gay,SF,27,TOT,0,0,18.3,537,65,472,318,209,95,56,224,1457
2014,Rudy Gay,SF,27,TOR,0,0,14.7,130,22,108,68,40,28,23,59,350
2014,Rudy Gay,SF,27,SAC,0,0,19.6,407,43,364,250,169,67,33,165,1107
2014,Alonzo Gee,SF,26,CLE,0,0,8.6,98,19,79,43,47,39,15,44,258
2014,Paul George,SF,23,IND,1,0,20.1,577,182,395,401,283,151,22,224,1737
2014,Taj Gibson,PF,28,CHI,0,0,16,429,0,429,211,91,41,112,150,1069
2014,Manu Ginobili,SG,36,SAS,0,1,20,294,90,204,160,293,70,17,139,838
2014,Rudy Gobert,C,21,UTA,0,0,12.9,36,0,36,32,7,8,41,32,104
2014,Ryan Gomes,SF,31,OKC,0,0,0.2,3,0,3,0,1,0,0,1,6
2014,Drew Gooden,C,32,WAS,0,0,18.4,76,7,69,24,15,10,7,17,183
2014,Archie Goodwin,SG,19,PHO,0,0,10.3,76,5,71,37,20,20,11,44,194
2014,Ben Gordon,SG,30,CHA,0,0,6.4,37,8,29,17,21,10,2,21,99
2014,Eric Gordon,SG,25,NOP,0,0,14.9,356,101,255,175,208,74,12,134,988
2014,Marcin Gortat,C,29,WAS,0,0,17.6,455,1,454,157,138,41,121,126,1068
2014,Danny Granger,SF,30,TOT,0,0,10.9,116,43,73,63,41,12,17,46,338
2014,Danny Granger,SF,30,IND,0,0,10.3,80,31,49,51,33,9,13,36,242
2014,Danny Granger,SF,30,LAC,0,0,12.6,36,12,24,12,8,3,4,10,96
2014,Aaron Gray,C,29,TOT,0,0,7.8,27,0,27,11,22,10,8,31,65
2014,Aaron Gray,C,29,TOR,0,0,5.7,2,0,2,1,3,0,0,4,5
2014,Aaron Gray,C,29,SAC,0,0,7.9,25,0,25,10,19,10,8,27,60
2014,Danny Green,SG,26,SAS,0,1,13.9,218,132,86,50,104,65,61,76,618
2014,Draymond Green,SF,23,GSW,0,0,12.7,187,55,132,82,152,102,72,91,511
2014,Gerald Green,SG,28,PHO,0,0,16.5,448,204,244,195,122,70,42,145,1295
2014,Jeff Green,SF,27,BOS,0,0,13.1,482,135,347,283,138,57,47,165,1382
2014,Willie Green,SG,32,LAC,0,0,7.1,102,41,61,28,50,22,11,34,273
2014,Blake Griffin,PF,24,LAC,1,0,23.9,718,12,706,482,309,92,51,224,1930
2014,Jorge Gutierrez,PG,25,BRK,0,0,8.7,25,3,22,9,30,10,1,14,62
2014,Jordan Hamilton,SF,23,TOT,0,0,12.7,147,70,77,40,52,44,20,46,404
2014,Jordan Hamilton,SF,23,DEN,0,0,13.2,99,45,54,23,34,31,13,27,266
